x_min,x_max,y_min,y_max
66.5322580645161,278.2258064516129,950.2164502164503,977.2727272727273
661.2903225806451,955.6451612903227,955.6277056277056,985.3896103896104
957.6612903225807,993.9516129032259,566.017316017316,898.8095238095239
965.7258064516129,985.8870967741937,95.23809523809518,460.49783549783547
34.2741935483871,229.83870967741936,30.303030303030283,62.77056277056275
364.91935483870975,622.983870967742,22.186147186147167,65.47619047619045
715.7258064516129,951.6129032258066,22.186147186147167,60.06493506493504
24.19354838709677,52.419354838709694,636.3636363636365,898.8095238095239
28.225806451612897,60.48387096774195,157.46753246753246,582.2510822510823
304.4354838709678,332.6612903225806,614.7186147186147,655.3030303030304
677.4193548387098,721.7741935483871,468.61471861471864,506.4935064935065
199.5967741935484,272.17741935483866,373.9177489177489,422.6190476190476
643.1451612903224,677.4193548387098,722.9437229437228,758.1168831168832
