x_min,x_max,y_min,y_max
42.338709677419374,217.74193548387092,879.8701298701299,955.6277056277056
552.4193548387098,598.7903225806454,877.1645021645022,896.1038961038962
812.5,856.8548387096776,863.6363636363637,906.926406926407
2.0161290322580783,413.3064516129033,0.5411255411255524,419.91341991341994
497.98387096774195,538.3064516129034,544.3722943722944,568.7229437229437
818.5483870967744,838.7096774193549,487.5541125541125,538.961038961039
838.7096774193549,879.0322580645161,179.1125541125541,203.46320346320346
683.4677419354839,703.6290322580644,306.2770562770562,325.2164502164502
600.8064516129034,616.9354838709678,214.28571428571428,227.8138528138528
364.91935483870975,381.04838709677426,625.5411255411254,641.7748917748918
375.0,401.2096774193549,777.056277056277,798.7012987012987
639.1129032258065,733.8709677419355,709.4155844155844,768.939393939394
866.9354838709678,889.1129032258066,712.121212121212,747.2943722943724
497.98387096774195,512.0967741935485,739.1774891774892,755.4112554112555
46.37096774193549,78.62903225806451,744.5887445887445,758.1168831168832
106.85483870967741,131.04838709677418,649.891774891775,666.1255411255413
122.98387096774192,157.25806451612905,544.3722943722944,563.3116883116884
272.17741935483866,310.48387096774195,617.4242424242425,652.5974025974026
30.241935483870975,72.58064516129033,547.077922077922,593.073593073593
288.3064516129032,336.6935483870968,498.37662337662334,528.1385281385282
