x_min,x_max,y_min,y_max
399.1935483870968,622.983870967742,465.9090909090909,601.1904761904763
304.43548387096786,449.59677419354847,609.3073593073593,733.7662337662339
163.3064516129033,352.82258064516134,736.4718614718615,852.8138528138527
26.20967741935486,197.5806451612903,860.9307359307359,988.0952380952381
578.6290322580645,737.9032258064516,612.0129870129871,731.0606060606061
669.3548387096776,872.983870967742,739.1774891774892,863.6363636363637
784.2741935483871,973.7903225806451,871.7532467532467,998.9177489177489
310.483870967742,455.6451612903226,352.27272727272725,457.7922077922078
187.5,383.0645161290323,222.40259740259742,344.1558441558442
26.209677419354847,254.03225806451613,41.12554112554113,206.1688311688312
552.4193548387098,743.9516129032259,346.86147186147184,460.49783549783547
677.4193548387095,846.7741935483871,230.51948051948057,330.6277056277056
788.3064516129032,975.8064516129032,41.12554112554115,222.40259740259745
